name,Nombre_liga,Equipo,Pais,Edad,Posicion,Altura,Peso,Partidos_completos,Medio_tiempo,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,rating,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,shotsPerGame_y,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,passSuccess_y,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad
Raúl García,LaLiga,Getafe,es,30,Defender,180,74,3,1,247,0,0,0,0,0.0,65.4,0,1.0,6.83,1.3,1.0,0.8,0.3,1.5,0.8,0.3,0,0.0,1.0,1.0,1.0,0.0,0.8,0.5,19.5,65.4,2.5,1.5,0.0
Nemanja Maksimovic,LaLiga,Getafe,rs,24,Defender,189,78,14,1,1215,1,0,1,0,0.7,68.0,1,2.7,6.8,1.3,1.7,0.5,0.0,1.1,0.9,0.1,0,0.7,0.2,0.3,0.3,0.1,0.1,0.7,19.8,68.0,0.1,0.9,0.0
Ángel Rodríguez,LaLiga,Getafe,es,32,Forward,172,68,5,11,754,8,1,2,0,1.8,62.1,1,0.8,6.74,0.4,0.1,1.8,0.0,0.5,0.7,0.1,0,1.8,0.5,0.8,1.2,1.0,0.9,1.9,10.1,62.1,0.0,0.4,0.1
Xabier Etxeita,LaLiga,Getafe,es,32,Defender,186,78,3,1,315,0,0,2,0,0.3,54.1,0,2.5,6.73,1.3,1.3,1.0,1.3,4.0,0.8,0.3,0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,18.5,54.1,0.0,3.3,0.0
Kenedy,LaLiga,Getafe,br,23,Defender,182,77,2,8,346,1,2,1,0,1.0,69.5,1,0.5,6.71,0.4,0.7,0.8,0.0,0.2,0.2,0.0,0,1.0,0.5,1.4,0.6,0.1,1.0,0.9,9.5,69.5,0.4,0.1,0.0
Leandro Cabrera,LaLiga,Getafe,uy,28,Defender,190,80,15,0,1262,1,0,3,0,0.3,51.5,0,3.1,6.68,0.6,1.1,0.9,1.5,3.5,0.1,0.3,0,0.3,0.1,0.1,0.5,0.1,0.2,0.3,31.1,51.5,0.1,6.1,0.1
David Timor,LaLiga,Getafe,es,30,Defender,185,80,3,5,308,2,0,2,0,1.0,61.7,0,1.8,6.63,0.5,0.5,0.9,0.1,0.9,0.1,0.0,0,1.0,0.1,0.0,0.8,0.0,0.0,0.4,16.0,61.7,0.0,2.0,0.0
Jorge Molina,LaLiga,Getafe,es,37,Forward,188,72,12,3,889,3,1,3,1,1.1,65.2,0,2.6,6.62,0.1,0.2,1.1,0.1,0.5,0.5,0.0,0,1.1,0.8,0.5,1.3,0.4,1.0,1.6,16.3,65.2,0.2,0.3,0.0
Djené Dakonam,LaLiga,Getafe,tg,27,Defender,187,72,15,0,1350,0,0,2,0,0.2,68.4,0,2.3,6.57,1.1,0.6,1.5,1.3,3.3,0.2,0.2,0,0.2,0.2,0.3,0.9,0.1,0.2,0.6,30.6,68.4,0.0,3.5,0.0
David Soria,LaLiga,Getafe,es,26,GoalKeeper,192,85,17,0,1530,0,0,1,0,0.0,39.3,1,0.2,6.53,0.0,0.0,0.1,0.0,1.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,39.3,0.0,9.1,0.0
Allan-Roméo Nyom,LaLiga,Getafe,cm,31,Defender,188,78,14,2,1129,1,0,5,0,0.4,61.8,0,1.0,6.52,1.6,0.5,1.5,0.3,1.6,0.5,0.3,0,0.4,0.4,0.3,0.6,0.1,0.3,0.6,17.8,61.8,0.5,1.2,0.0
