name,Edad,Posicion,Altura,Peso,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad,Kmeans_Clusters
Pau Torres,22,Defender,191,80,1440,1,1,2,0,0.3,84.5,0,1.5,1.1,0.6,0.9,0.4,4.5,0.1,0.8,0,0.4,0.1,0.2,0.0,0.3,0.4,61.1,0.0,6.5,0.1,4
Joselu,29,Forward,192,80,1268,7,0,3,0,2.5,52.3,5,8.1,1.0,0.4,1.7,0.1,1.6,0.7,0.1,0,0.4,0.3,1.5,0.3,1.2,2.9,26.3,0.1,0.9,0.0,3
Aleix Vidal,30,Defender,177,70,1327,0,3,3,0,0.8,76.4,0,0.5,0.6,1.1,0.7,0.0,0.4,1.3,0.1,0,1.6,0.8,1.5,0.1,0.7,1.9,26.9,1.6,1.3,0.0,3
Rubén Duarte,24,Defender,180,75,1350,0,0,5,0,0.8,70.9,0,1.5,1.9,1.4,1.5,0.3,2.3,1.0,0.3,0,0.5,0.1,1.1,0.0,0.5,0.5,32.9,0.4,2.1,0.0,0
Fernando Pacheco,27,GoalKeeper,186,81,1260,0,0,0,0,0.0,58.1,0,0.2,0.1,0.0,0.0,0.0,0.6,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0.0,10.9,0.0,2
Mohammed Salisu,20,Defender,191,82,1466,1,0,2,0,0.2,80.7,1,2.9,1.2,1.1,0.8,0.5,4.9,0.5,0.9,0,0.0,0.4,0.5,0.1,0.2,0.5,36.6,0.0,2.1,0.0,4
Kiko Olivas,31,Defender,184,76,1530,1,0,1,0,0.2,88.7,1,1.2,1.1,1.9,0.4,0.3,3.6,0.6,0.6,0,0.1,0.4,1.0,0.1,0.2,0.4,36.4,0.0,2.4,0.0,4
Óscar Plano,28,Attacker,180,72,1406,3,2,2,0,1.5,73.0,1,1.2,0.8,1.2,1.6,0.0,0.6,1.2,0.1,0,0.8,0.5,1.7,0.1,0.9,1.5,23.1,0.3,1.1,0.1,3
Míchel,31,Midfielder,182,68,1315,1,1,4,0,0.4,82.2,0,0.4,1.9,1.5,1.5,0.0,1.6,2.1,0.2,0,0.9,0.6,0.5,0.1,0.9,1.2,52.6,0.7,6.6,0.0,0
Jordi Masip,30,GoalKeeper,180,76,1530,0,0,2,0,0.0,48.8,1,0.1,0.1,0.0,0.0,0.0,0.3,0.1,0.0,0,0.1,0.0,0.0,0.0,0.0,0.1,28.1,0.0,8.8,0.0,2
Sergi Guardiola,28,Forward,184,78,1441,3,0,3,0,1.8,68.4,1,1.3,0.3,0.3,1.6,0.0,0.4,0.6,0.0,0,0.4,1.2,1.8,0.5,1.2,2.8,19.4,0.0,0.6,0.1,3
Fabián Orellana,33,Attacker,170,64,1371,4,4,5,1,1.7,76.2,2,0.7,1.2,0.6,0.8,0.0,0.1,1.4,0.0,0,2.1,2.6,1.8,0.3,3.9,3.0,31.2,1.8,1.2,0.1,1
Anaitz Arbilla,32,Defender,178,76,1257,1,0,5,0,0.8,75.4,0,2.7,0.9,1.3,1.0,1.2,3.8,0.9,0.1,0,0.2,0.5,0.5,0.0,0.2,0.6,47.6,0.1,7.0,0.0,4
Paulo Oliveira,27,Defender,187,81,1231,1,0,4,0,0.5,69.0,0,2.9,1.3,1.4,0.5,0.7,3.3,0.3,0.6,1,0.1,0.1,0.5,0.0,0.0,0.2,32.7,0.1,3.9,0.0,4
